cohort	metadata	metric	n_meta	gizmo_best_pc	gizmo_strength	gizmo_raw_p	mofa_best_factor	mofa_strength	mofa_raw_p	n_cohort_tests	bonf_cohort_thr	bonf_global_thr	gizmo_pc_var_frac	mofa_factor_var_frac	gizmo_survives_bonf_cohort	gizmo_survives_bonf_global	mofa_survives_bonf_cohort	mofa_survives_bonf_global
Erawijantari	study_group	auc	96	1	0.4188712522045855	0.0004575573097691	1	0.8130511463844798	1.0049593299038604e-11	11	0.004545454545454546	0.00027624309392265195	0.26473466398415124	0.3506681749109989	True	False	True	True
Erawijantari	surgery_type	spearman	96	1	0.3403465558415903	0.0006915536376048	1	0.6791851108480023	2.8228871594718902e-14	11	0.004545454545454546	0.00027624309392265195	0.26473466398415124	0.3506681749109989	False	False	True	True
Erawijantari	hypertension	auc	95	4	0.2908622908622909	0.0431307243124222	4	0.3333333333333332	0.0204271055211581	11	0.004545454545454546	0.00027624309392265195	0.09830066669565672	0.08642567040487387	False	False	False	False
Erawijantari	diabetes	auc	95	1	0.4015009380863039	0.0207816576503186	7	0.3227016885553471	0.0632937418746304	11	0.004545454545454546	0.00027624309392265195	0.26473466398415124	0.03770085069180849	False	False	False	False
Erawijantari	dyslipidemia	auc	95	3	0.2971342383107089	0.0564097129658357	1	0.3318250377073908	0.0330752708980533	11	0.004545454545454546	0.00027624309392265195	0.19405958614366423	0.3506681749109989	False	False	False	False
Erawijantari	diabetesmed	auc	95	4	0.3809523809523809	0.0236642250606515	1	0.2451499118165785	0.1459148913055558	11	0.004545454545454546	0.00027624309392265195	0.09830066669565672	0.3506681749109989	False	False	False	False
Erawijantari	anticoagulant	auc	95	1	0.3246753246753247	0.1595762389765103	9	0.4740259740259738	0.0362203413862612	11	0.004545454545454546	0.00027624309392265195	0.26473466398415124	0.021750147977044273	False	False	False	False
Erawijantari	analgesic	auc	95	5	0.3043478260869566	0.3950438897518333	3	0.5289855072463768	0.1289022143553805	11	0.004545454545454546	0.00027624309392265195	0.08433479375123928	0.1595678821174163	False	False	False	False
TCGA_LUAD	stage	spearman	514	5	0.1419602951206636	0.001336606841861	2	0.1994176005714383	5.9223837447128745e-06	2	0.025	0.00027624309392265195	0.043447273169243746	0.136406225475197	False	False	False	False
TCGA_LUAD	sex	auc	522	5	0.2020088589431655	8.613835669052421e-05	3	0.1463597230020586	0.0044431546515827	2	0.025	0.00027624309392265195	0.043447273169243746	0.14329328080935194	False	False	False	False
Su_COVID	sex	auc	523	2	0.5308641975308642	0.0636897751366286	6	0.925925925925926	0.001086246625822	2	0.025	0.00027624309392265195	0.12164579366288368	0.05231012428093288	False	False	True	False
Su_COVID	age	spearman	520	5	0.2359035310418605	0.345989905696888	3	0.505950994208201	0.0321722125905924	2	0.025	0.00027624309392265195	0.04047808886764621	0.20767098230833045	False	False	False	False
GSE65391_SLE	batch	spearman	996	4	0.5148868522371616	1.596527729792864e-68	5	0.3800287064323402	1.4251049901854408e-35	72	0.0006944444444444445	0.00027624309392265195	0.033937061432335956	0.07546223773048863	True	True	False	False
GSE65391_SLE	batch_replicate	auc	996	3	0.3665611814345991	1.794616331877884e-05	2	0.2721958509142053	0.0014484634720963	72	0.0006944444444444445	0.00027624309392265195	0.04418348124830024	0.12379534398959771	False	False	False	False
GSE65391_SLE	visit	spearman	995	1	0.18537883494467	3.83158669283262e-09	8	0.32706269614987	3.091333554285793e-26	72	0.0006944444444444445	0.00027624309392265195	0.1805741938254549	0.04117178050167621	False	False	False	False
GSE65391_SLE	set	spearman	996	2	0.0869301084366607	0.0060470148535783	9	0.1354164727899423	1.8023128395558925e-05	72	0.0006944444444444445	0.00027624309392265195	0.05849601531159484	0.03322830164899022	False	False	False	False
GSE65391_SLE	visit_count	spearman	996	4	0.2451338479849477	4.274647538958586e-15	8	0.2936810253451308	2.899448292182711e-21	72	0.0006944444444444445	0.00027624309392265195	0.033937061432335956	0.04117178050167621	False	False	False	False
